id,custom_name,lat,long
178,Site178,17.78,78.78
179,Site179,17.79,78.79
180,Site180,17.8,78.8
181,Site181,17.81,78.81
182,Site182,17.82,78.82
183,Site183,17.83,78.83
184,Site184,17.84,78.84
185,Site185,17.85,78.85
186,Site186,17.86,78.86
187,Site187,17.87,78.87
188,Site188,17.88,78.88
189,Site189,17.89,78.89
190,Site190,17.9,78.9
191,Site191,17.91,78.91
192,Site192,17.92,78.92
193,Site193,17.93,78.93
194,Site194,17.94,78.94
195,Site195,17.95,78.95
196,Site196,17.96,78.96
197,Site197,17.97,78.97
198,Site198,17.98,78.98
199,Site199,17.99,78.99
200,Site200,17.0,78.0
201,Site201,17.01,78.01
202,Site202,17.02,78.02
203,Site203,17.03,78.03
204,Site204,17.04,78.04
205,Site205,17.05,78.05
206,Site206,17.06,78.06
207,Site207,17.07,78.07
208,Site208,17.08,78.08
209,Site209,17.09,78.09
210,Site210,17.1,78.1
211,Site211,17.11,78.11
212,Site212,17.12,78.12
213,Site213,17.13,78.13
214,Site214,17.14,78.14
215,Site215,17.15,78.15
216,Site216,17.16,78.16
217,Site217,17.17,78.17
218,Site218,17.18,78.18
219,Site219,17.19,78.19
220,Site220,17.2,78.2
221,Site221,17.21,78.21
222,Site222,17.22,78.22
223,Site223,17.23,78.23
224,Site224,17.24,78.24
225,Site225,17.25,78.25
226,Site226,17.26,78.26
227,Site227,17.27,78.27
228,Site228,17.28,78.28
229,Site229,17.29,78.29
230,Site230,17.3,78.3
231,Site231,17.31,78.31
232,Site232,17.32,78.32
233,Site233,17.33,78.33
234,Site234,17.34,78.34
235,Site235,17.35,78.35
236,Site236,17.36,78.36
237,Site237,17.37,78.37
238,Site238,17.38,78.38
239,Site239,17.39,78.39
240,Site240,17.4,78.4
241,Site241,17.41,78.41
242,Site242,17.42,78.42
243,Site243,17.43,78.43
244,Site244,17.44,78.44
245,Site245,17.45,78.45
246,Site246,17.46,78.46
247,Site247,17.47,78.47
248,Site248,17.48,78.48
249,Site249,17.49,78.49
250,Site250,17.5,78.5
251,Site251,17.51,78.51
252,Site252,17.52,78.52
253,Site253,17.53,78.53
254,Site254,17.54,78.54
255,Site255,17.55,78.55
256,Site256,17.56,78.56
257,Site257,17.57,78.57
258,Site258,17.58,78.58
259,Site259,17.59,78.59
260,Site260,17.6,78.6
261,Site261,17.61,78.61
262,Site262,17.62,78.62
263,Site263,17.63,78.63
264,Site264,17.64,78.64
265,Site265,17.65,78.65
266,Site266,17.66,78.66
267,Site267,17.67,78.67
268,Site268,17.68,78.68
269,Site269,17.69,78.69
270,Site270,17.7,78.7
271,Site271,17.71,78.71
272,Site272,17.72,78.72
273,Site273,17.73,78.73
274,Site274,17.74,78.74
275,Site275,17.75,78.75
276,Site276,17.76,78.76
277,Site277,17.77,78.77
278,Site278,17.78,78.78
279,Site279,17.79,78.79
280,Site280,17.8,78.8
281,Site281,17.81,78.81
282,Site282,17.82,78.82
283,Site283,17.83,78.83
284,Site284,17.84,78.84
285,Site285,17.85,78.85
286,Site286,17.86,78.86
287,Site287,17.87,78.87
288,Site288,17.88,78.88
289,Site289,17.89,78.89
290,Site290,17.9,78.9
291,Site291,17.91,78.91
292,Site292,17.92,78.92
293,Site293,17.93,78.93
294,Site294,17.94,78.94
295,Site295,17.95,78.95
296,Site296,17.96,78.96
297,Site297,17.97,78.97
298,Site298,17.98,78.98
299,Site299,17.99,78.99
300,Site300,17.0,78.0
301,Site301,17.01,78.01
302,Site302,17.02,78.02
303,Site303,17.03,78.03
304,Site304,17.04,78.04
305,Site305,17.05,78.05
306,Site306,17.06,78.06
307,Site307,17.07,78.07
308,Site308,17.08,78.08
309,Site309,17.09,78.09
310,Site310,17.1,78.1
311,Site311,17.11,78.11
312,Site312,17.12,78.12
313,Site313,17.13,78.13
314,Site314,17.14,78.14
315,Site315,17.15,78.15
316,Site316,17.16,78.16
317,Site317,17.17,78.17
318,Site318,17.18,78.18
319,Site319,17.19,78.19
320,Site320,17.2,78.2
321,Site321,17.21,78.21
322,Site322,17.22,78.22
323,Site323,17.23,78.23
324,Site324,17.24,78.24
325,Site325,17.25,78.25
326,Site326,17.26,78.26
327,Site327,17.27,78.27
328,Site328,17.28,78.28
329,Site329,17.29,78.29
330,Site330,17.3,78.3
331,Site331,17.31,78.31
332,Site332,17.32,78.32
333,Site333,17.33,78.33
334,Site334,17.34,78.34
335,Site335,17.35,78.35
336,Site336,17.36,78.36
337,Site337,17.37,78.37
338,Site338,17.38,78.38
339,Site339,17.39,78.39
340,Site340,17.4,78.4
341,Site341,17.41,78.41
342,Site342,17.42,78.42
343,Site343,17.43,78.43
344,Site344,17.44,78.44
345,Site345,17.45,78.45
346,Site346,17.46,78.46
347,Site347,17.47,78.47
348,Site348,17.48,78.48
349,Site349,17.49,78.49
350,Site350,17.5,78.5
351,Site351,17.51,78.51
352,Site352,17.52,78.52
353,Site353,17.53,78.53
354,Site354,17.54,78.54
355,Site355,17.55,78.55
356,Site356,17.56,78.56
357,Site357,17.57,78.57
358,Site358,17.58,78.58
359,Site359,17.59,78.59
360,Site360,17.6,78.6
361,Site361,17.61,78.61
362,Site362,17.62,78.62
363,Site363,17.63,78.63
364,Site364,17.64,78.64
365,Site365,17.65,78.65
366,Site366,17.66,78.66
367,Site367,17.67,78.67
368,Site368,17.68,78.68
369,Site369,17.69,78.69
370,Site370,17.7,78.7
371,Site371,17.71,78.71
372,Site372,17.72,78.72
373,Site373,17.73,78.73
374,Site374,17.74,78.74
375,Site375,17.75,78.75
376,Site376,17.76,78.76
377,Site377,17.77,78.77
378,Site378,17.78,78.78
379,Site379,17.79,78.79
380,Site380,17.8,78.8
381,Site381,17.81,78.81
382,Site382,17.82,78.82
383,Site383,17.83,78.83
384,Site384,17.84,78.84
385,Site385,17.85,78.85
386,Site386,17.86,78.86
387,Site387,17.87,78.87
388,Site388,17.88,78.88
389,Site389,17.89,78.89
390,Site390,17.9,78.9
391,Site391,17.91,78.91
392,Site392,17.92,78.92
393,Site393,17.93,78.93
394,Site394,17.94,78.94
395,Site395,17.95,78.95
396,Site396,17.96,78.96
397,Site397,17.97,78.97
398,Site398,17.98,78.98
399,Site399,17.99,78.99
400,Site400,17.0,78.0
401,Site401,17.01,78.01
402,Site402,17.02,78.02
403,Site403,17.03,78.03
404,Site404,17.04,78.04
405,Site405,17.05,78.05
406,Site406,17.06,78.06
407,Site407,17.07,78.07
408,Site408,17.08,78.08
409,Site409,17.09,78.09
410,Site410,17.1,78.1
411,Site411,17.11,78.11
412,Site412,17.12,78.12
413,Site413,17.13,78.13
414,Site414,17.14,78.14
415,Site415,17.15,78.15
416,Site416,17.16,78.16
417,Site417,17.17,78.17
418,Site418,17.18,78.18
419,Site419,17.19,78.19
420,Site420,17.2,78.2
421,Site421,17.21,78.21
422,Site422,17.22,78.22
423,Site423,17.23,78.23
424,Site424,17.24,78.24
425,Site425,17.25,78.25
426,Site426,17.26,78.26
427,Site427,17.27,78.27
428,Site428,17.28,78.28
429,Site429,17.29,78.29
430,Site430,17.3,78.3
431,Site431,17.31,78.31
432,Site432,17.32,78.32
433,Site433,17.33,78.33
434,Site434,17.34,78.34
435,Site435,17.35,78.35
436,Site436,17.36,78.36
437,Site437,17.37,78.37
438,Site438,17.38,78.38
439,Site439,17.39,78.39
440,Site440,17.4,78.4
441,Site441,17.41,78.41
442,Site442,17.42,78.42
443,Site443,17.43,78.43
444,Site444,17.44,78.44
445,Site445,17.45,78.45
446,Site446,17.46,78.46
447,Site447,17.47,78.47
448,Site448,17.48,78.48
449,Site449,17.49,78.49
450,Site450,17.5,78.5
451,Site451,17.51,78.51
452,Site452,17.52,78.52
453,Site453,17.53,78.53
454,Site454,17.54,78.54
455,Site455,17.55,78.55
456,Site456,17.56,78.56
457,Site457,17.57,78.57
458,Site458,17.58,78.58
459,Site459,17.59,78.59
460,Site460,17.6,78.6
461,Site461,17.61,78.61
462,Site462,17.62,78.62
463,Site463,17.63,78.63
464,Site464,17.64,78.64
465,Site465,17.65,78.65
466,Site466,17.66,78.66
467,Site467,17.67,78.67
468,Site468,17.68,78.68
469,Site469,17.69,78.69
470,Site470,17.7,78.7
471,Site471,17.71,78.71
472,Site472,17.72,78.72
473,Site473,17.73,78.73
474,Site474,17.74,78.74
475,Site475,17.75,78.75
476,Site476,17.76,78.76
477,Site477,17.77,78.77
478,Site478,17.78,78.78
479,Site479,17.79,78.79
480,Site480,17.8,78.8
481,Site481,17.81,78.81
482,Site482,17.82,78.82
483,Site483,17.83,78.83
484,Site484,17.84,78.84
485,Site485,17.85,78.85
486,Site486,17.86,78.86
487,Site487,17.87,78.87
488,Site488,17.88,78.88
489,Site489,17.89,78.89
490,Site490,17.9,78.9
491,Site491,17.91,78.91
492,Site492,17.92,78.92
493,Site493,17.93,78.93
494,Site494,17.94,78.94
495,Site495,17.95,78.95
496,Site496,17.96,78.96
497,Site497,17.97,78.97
498,Site498,17.98,78.98
499,Site499,17.99,78.99
500,Site500,17.0,78.0
501,Site501,17.01,78.01
502,Site502,17.02,78.02
503,Site503,17.03,78.03
504,Site504,17.04,78.04
505,Site505,17.05,78.05
506,Site506,17.06,78.06
507,Site507,17.07,78.07
508,Site508,17.08,78.08
509,Site509,17.09,78.09
510,Site510,17.1,78.1
511,Site511,17.11,78.11
512,Site512,17.12,78.12
513,Site513,17.13,78.13
514,Site514,17.14,78.14
515,Site515,17.15,78.15
516,Site516,17.16,78.16
517,Site517,17.17,78.17
518,Site518,17.18,78.18
519,Site519,17.19,78.19
520,Site520,17.2,78.2
521,Site521,17.21,78.21
522,Site522,17.22,78.22
523,Site523,17.23,78.23
524,Site524,17.24,78.24
525,Site525,17.25,78.25
526,Site526,17.26,78.26
527,Site527,17.27,78.27
528,Site528,17.28,78.28
529,Site529,17.29,78.29
530,Site530,17.3,78.3
531,Site531,17.31,78.31
532,Site532,17.32,78.32
533,Site533,17.33,78.33
534,Site534,17.34,78.34
535,Site535,17.35,78.35
536,Site536,17.36,78.36
537,Site537,17.37,78.37
538,Site538,17.38,78.38
539,Site539,17.39,78.39
540,Site540,17.4,78.4
541,Site541,17.41,78.41
542,Site542,17.42,78.42
543,Site543,17.43,78.43
544,Site544,17.44,78.44
545,Site545,17.45,78.45
546,Site546,17.46,78.46
547,Site547,17.47,78.47
548,Site548,17.48,78.48
549,Site549,17.49,78.49
550,Site550,17.5,78.5
551,Site551,17.51,78.51
552,Site552,17.52,78.52
553,Site553,17.53,78.53
554,Site554,17.54,78.54
555,Site555,17.55,78.55
556,Site556,17.56,78.56
557,Site557,17.57,78.57
558,Site558,17.58,78.58
559,Site559,17.59,78.59
560,Site560,17.6,78.6
561,Site561,17.61,78.61
562,Site562,17.62,78.62
563,Site563,17.63,78.63
564,Site564,17.64,78.64
565,Site565,17.65,78.65
566,Site566,17.66,78.66
567,Site567,17.67,78.67
568,Site568,17.68,78.68
569,Site569,17.69,78.69
570,Site570,17.7,78.7
571,Site571,17.71,78.71
572,Site572,17.72,78.72
573,Site573,17.73,78.73
574,Site574,17.74,78.74
575,Site575,17.75,78.75
576,Site576,17.76,78.76
577,Site577,17.77,78.77
578,Site578,17.78,78.78
579,Site579,17.79,78.79
580,Site580,17.8,78.8
581,Site581,17.81,78.81
582,Site582,17.82,78.82
583,Site583,17.83,78.83
584,Site584,17.84,78.84
585,Site585,17.85,78.85
586,Site586,17.86,78.86
587,Site587,17.87,78.87
588,Site588,17.88,78.88
589,Site589,17.89,78.89
590,Site590,17.9,78.9
591,Site591,17.91,78.91
592,Site592,17.92,78.92
593,Site593,17.93,78.93
594,Site594,17.94,78.94
595,Site595,17.95,78.95
596,Site596,17.96,78.96
597,Site597,17.97,78.97
598,Site598,17.98,78.98
599,Site599,17.99,78.99
600,Site600,17.0,78.0
601,Site601,17.01,78.01
602,Site602,17.02,78.02
603,Site603,17.03,78.03
604,Site604,17.04,78.04
605,Site605,17.05,78.05
606,Site606,17.06,78.06
607,Site607,17.07,78.07
608,Site608,17.08,78.08
609,Site609,17.09,78.09
610,Site610,17.1,78.1
611,Site611,17.11,78.11
612,Site612,17.12,78.12
613,Site613,17.13,78.13
614,Site614,17.14,78.14
615,Site615,17.15,78.15
616,Site616,17.16,78.16
617,Site617,17.17,78.17
618,Site618,17.18,78.18
619,Site619,17.19,78.19
620,Site620,17.2,78.2
621,Site621,17.21,78.21
622,Site622,17.22,78.22
623,Site623,17.23,78.23
624,Site624,17.24,78.24
625,Site625,17.25,78.25
626,Site626,17.26,78.26
627,Site627,17.27,78.27
628,Site628,17.28,78.28
629,Site629,17.29,78.29
630,Site630,17.3,78.3
631,Site631,17.31,78.31
632,Site632,17.32,78.32
633,Site633,17.33,78.33
634,Site634,17.34,78.34
635,Site635,17.35,78.35
636,Site636,17.36,78.36
637,Site637,17.37,78.37
638,Site638,17.38,78.38
639,Site639,17.39,78.39
640,Site640,17.4,78.4
641,Site641,17.41,78.41
642,Site642,17.42,78.42
643,Site643,17.43,78.43
644,Site644,17.44,78.44
645,Site645,17.45,78.45
646,Site646,17.46,78.46
647,Site647,17.47,78.47
648,Site648,17.48,78.48
649,Site649,17.49,78.49
650,Site650,17.5,78.5
651,Site651,17.51,78.51
652,Site652,17.52,78.52
653,Site653,17.53,78.53
654,Site654,17.54,78.54
655,Site655,17.55,78.55
656,Site656,17.56,78.56
657,Site657,17.57,78.57
658,Site658,17.58,78.58
659,Site659,17.59,78.59
660,Site660,17.6,78.6
661,Site661,17.61,78.61
662,Site662,17.62,78.62
663,Site663,17.63,78.63
664,Site664,17.64,78.64
665,Site665,17.65,78.65
666,Site666,17.66,78.66
667,Site667,17.67,78.67
668,Site668,17.68,78.68
669,Site669,17.69,78.69
670,Site670,17.7,78.7
671,Site671,17.71,78.71
672,Site672,17.72,78.72
673,Site673,17.73,78.73
674,Site674,17.74,78.74
675,Site675,17.75,78.75
676,Site676,17.76,78.76
677,Site677,17.77,78.77
678,Site678,17.78,78.78
679,Site679,17.79,78.79
680,Site680,17.8,78.8
681,Site681,17.81,78.81
682,Site682,17.82,78.82
683,Site683,17.83,78.83
684,Site684,17.84,78.84
685,Site685,17.85,78.85
686,Site686,17.86,78.86
687,Site687,17.87,78.87
688,Site688,17.88,78.88
689,Site689,17.89,78.89
690,Site690,17.9,78.9
691,Site691,17.91,78.91
692,Site692,17.92,78.92
693,Site693,17.93,78.93
694,Site694,17.94,78.94
695,Site695,17.95,78.95
696,Site696,17.96,78.96
697,Site697,17.97,78.97
698,Site698,17.98,78.98
699,Site699,17.99,78.99
700,Site700,17.0,78.0
701,Site701,17.01,78.01
702,Site702,17.02,78.02
703,Site703,17.03,78.03
704,Site704,17.04,78.04
705,Site705,17.05,78.05
706,Site706,17.06,78.06
707,Site707,17.07,78.07
708,Site708,17.08,78.08
709,Site709,17.09,78.09
710,Site710,17.1,78.1
711,Site711,17.11,78.11
712,Site712,17.12,78.12
713,Site713,17.13,78.13
714,Site714,17.14,78.14
715,Site715,17.15,78.15
716,Site716,17.16,78.16
717,Site717,17.17,78.17
718,Site718,17.18,78.18
719,Site719,17.19,78.19
720,Site720,17.2,78.2
721,Site721,17.21,78.21
722,Site722,17.22,78.22
723,Site723,17.23,78.23
724,Site724,17.24,78.24
725,Site725,17.25,78.25
726,Site726,17.26,78.26
727,Site727,17.27,78.27
728,Site728,17.28,78.28
729,Site729,17.29,78.29
730,Site730,17.3,78.3
731,Site731,17.31,78.31
732,Site732,17.32,78.32
733,Site733,17.33,78.33
734,Site734,17.34,78.34
735,Site735,17.35,78.35
736,Site736,17.36,78.36
737,Site737,17.37,78.37
738,Site738,17.38,78.38
739,Site739,17.39,78.39
740,Site740,17.4,78.4
741,Site741,17.41,78.41
742,Site742,17.42,78.42
743,Site743,17.43,78.43
744,Site744,17.44,78.44
745,Site745,17.45,78.45
746,Site746,17.46,78.46
747,Site747,17.47,78.47
748,Site748,17.48,78.48
749,Site749,17.49,78.49
750,Site750,17.5,78.5
751,Site751,17.51,78.51
752,Site752,17.52,78.52
753,Site753,17.53,78.53
754,Site754,17.54,78.54
755,Site755,17.55,78.55
756,Site756,17.56,78.56
757,Site757,17.57,78.57
758,Site758,17.58,78.58
759,Site759,17.59,78.59
760,Site760,17.6,78.6
761,Site761,17.61,78.61
762,Site762,17.62,78.62
763,Site763,17.63,78.63
764,Site764,17.64,78.64
765,Site765,17.65,78.65
766,Site766,17.66,78.66
767,Site767,17.67,78.67
768,Site768,17.68,78.68
769,Site769,17.69,78.69
770,Site770,17.7,78.7
771,Site771,17.71,78.71
772,Site772,17.72,78.72
773,Site773,17.73,78.73
774,Site774,17.74,78.74
775,Site775,17.75,78.75
776,Site776,17.76,78.76
777,Site777,17.77,78.77
778,Site778,17.78,78.78
779,Site779,17.79,78.79
780,Site780,17.8,78.8
781,Site781,17.81,78.81
782,Site782,17.82,78.82
783,Site783,17.83,78.83
784,Site784,17.84,78.84
785,Site785,17.85,78.85
786,Site786,17.86,78.86
787,Site787,17.87,78.87
788,Site788,17.88,78.88
789,Site789,17.89,78.89
790,Site790,17.9,78.9
791,Site791,17.91,78.91
792,Site792,17.92,78.92
793,Site793,17.93,78.93
794,Site794,17.94,78.94
795,Site795,17.95,78.95
796,Site796,17.96,78.96
797,Site797,17.97,78.97
798,Site798,17.98,78.98
799,Site799,17.99,78.99
800,Site800,17.0,78.0
801,Site801,17.01,78.01
802,Site802,17.02,78.02
803,Site803,17.03,78.03
804,Site804,17.04,78.04
805,Site805,17.05,78.05
806,Site806,17.06,78.06
807,Site807,17.07,78.07
808,Site808,17.08,78.08
809,Site809,17.09,78.09
810,Site810,17.1,78.1
811,Site811,17.11,78.11
812,Site812,17.12,78.12
813,Site813,17.13,78.13
814,Site814,17.14,78.14
815,Site815,17.15,78.15
816,Site816,17.16,78.16
817,Site817,17.17,78.17
818,Site818,17.18,78.18
819,Site819,17.19,78.19
820,Site820,17.2,78.2
821,Site821,17.21,78.21
822,Site822,17.22,78.22
823,Site823,17.23,78.23
824,Site824,17.24,78.24
825,Site825,17.25,78.25
826,Site826,17.26,78.26
827,Site827,17.27,78.27
828,Site828,17.28,78.28
829,Site829,17.29,78.29
830,Site830,17.3,78.3
831,Site831,17.31,78.31
832,Site832,17.32,78.32
833,Site833,17.33,78.33
834,Site834,17.34,78.34
835,Site835,17.35,78.35
836,Site836,17.36,78.36
837,Site837,17.37,78.37
838,Site838,17.38,78.38
839,Site839,17.39,78.39
840,Site840,17.4,78.4
841,Site841,17.41,78.41
842,Site842,17.42,78.42
843,Site843,17.43,78.43
844,Site844,17.44,78.44
845,Site845,17.45,78.45
846,Site846,17.46,78.46
847,Site847,17.47,78.47
848,Site848,17.48,78.48
849,Site849,17.49,78.49
850,Site850,17.5,78.5
851,Site851,17.51,78.51
852,Site852,17.52,78.52
853,Site853,17.53,78.53
854,Site854,17.54,78.54
855,Site855,17.55,78.55
856,Site856,17.56,78.56
857,Site857,17.57,78.57
858,Site858,17.58,78.58
859,Site859,17.59,78.59
860,Site860,17.6,78.6
861,Site861,17.61,78.61
862,Site862,17.62,78.62
863,Site863,17.63,78.63
864,Site864,17.64,78.64
865,Site865,17.65,78.65
866,Site866,17.66,78.66
867,Site867,17.67,78.67
868,Site868,17.68,78.68
869,Site869,17.69,78.69
870,Site870,17.7,78.7
871,Site871,17.71,78.71
872,Site872,17.72,78.72
873,Site873,17.73,78.73
874,Site874,17.74,78.74
875,Site875,17.75,78.75
876,Site876,17.76,78.76
877,Site877,17.77,78.77
878,Site878,17.78,78.78
879,Site879,17.79,78.79
880,Site880,17.8,78.8
881,Site881,17.81,78.81
882,Site882,17.82,78.82
883,Site883,17.83,78.83
884,Site884,17.84,78.84
885,Site885,17.85,78.85
886,Site886,17.86,78.86
887,Site887,17.87,78.87
888,Site888,17.88,78.88
889,Site889,17.89,78.89
890,Site890,17.9,78.9
891,Site891,17.91,78.91
892,Site892,17.92,78.92
893,Site893,17.93,78.93
894,Site894,17.94,78.94
895,Site895,17.95,78.95
896,Site896,17.96,78.96
897,Site897,17.97,78.97
898,Site898,17.98,78.98
899,Site899,17.99,78.99
900,Site900,17.0,78.0
901,Site901,17.01,78.01
902,Site902,17.02,78.02
903,Site903,17.03,78.03
904,Site904,17.04,78.04
905,Site905,17.05,78.05
906,Site906,17.06,78.06
907,Site907,17.07,78.07
908,Site908,17.08,78.08
909,Site909,17.09,78.09
910,Site910,17.1,78.1
911,Site911,17.11,78.11
912,Site912,17.12,78.12
913,Site913,17.13,78.13
914,Site914,17.14,78.14
915,Site915,17.15,78.15
916,Site916,17.16,78.16
917,Site917,17.17,78.17
918,Site918,17.18,78.18
919,Site919,17.19,78.19
920,Site920,17.2,78.2
921,Site921,17.21,78.21
922,Site922,17.22,78.22
923,Site923,17.23,78.23
924,Site924,17.24,78.24
925,Site925,17.25,78.25
926,Site926,17.26,78.26
927,Site927,17.27,78.27
928,Site928,17.28,78.28
929,Site929,17.29,78.29
930,Site930,17.3,78.3
931,Site931,17.31,78.31
932,Site932,17.32,78.32
933,Site933,17.33,78.33
934,Site934,17.34,78.34
935,Site935,17.35,78.35
936,Site936,17.36,78.36
937,Site937,17.37,78.37
938,Site938,17.38,78.38
939,Site939,17.39,78.39
940,Site940,17.4,78.4
941,Site941,17.41,78.41
942,Site942,17.42,78.42
943,Site943,17.43,78.43
944,Site944,17.44,78.44
945,Site945,17.45,78.45
946,Site946,17.46,78.46
947,Site947,17.47,78.47
948,Site948,17.48,78.48
949,Site949,17.49,78.49
950,Site950,17.5,78.5
951,Site951,17.51,78.51
952,Site952,17.52,78.52
953,Site953,17.53,78.53
954,Site954,17.54,78.54
955,Site955,17.55,78.55
956,Site956,17.56,78.56
957,Site957,17.57,78.57
958,Site958,17.58,78.58
959,Site959,17.59,78.59
960,Site960,17.6,78.6
961,Site961,17.61,78.61
962,Site962,17.62,78.62
963,Site963,17.63,78.63
964,Site964,17.64,78.64
965,Site965,17.65,78.65
966,Site966,17.66,78.66
967,Site967,17.67,78.67
968,Site968,17.68,78.68
969,Site969,17.69,78.69
970,Site970,17.7,78.7
971,Site971,17.71,78.71
972,Site972,17.72,78.72
973,Site973,17.73,78.73
974,Site974,17.74,78.74
975,Site975,17.75,78.75
976,Site976,17.76,78.76
977,Site977,17.77,78.77
978,Site978,17.78,78.78
979,Site979,17.79,78.79
980,Site980,17.8,78.8
981,Site981,17.81,78.81
982,Site982,17.82,78.82
983,Site983,17.83,78.83
984,Site984,17.84,78.84
985,Site985,17.85,78.85
986,Site986,17.86,78.86
987,Site987,17.87,78.87
988,Site988,17.88,78.88
989,Site989,17.89,78.89
990,Site990,17.9,78.9
991,Site991,17.91,78.91
992,Site992,17.92,78.92
993,Site993,17.93,78.93
994,Site994,17.94,78.94
995,Site995,17.95,78.95
996,Site996,17.96,78.96
997,Site997,17.97,78.97
